Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Player,PlayerID
9,9,40,May 10,WSN,,STL,,,,2,1.1,0,0,0,1,1,0,1,3.65,4.24,6,20,10,2,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.14,0.006,0.08,,0.08,3.8,7,,,Cole Henry,henryco01
10,10,43,May 13,WSN,@,ATL,,,,2,1,0,0,0,0,2,0,0,3.38,3.85,3,14,9,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.32,0.024,0.14,,0.51,6.25,9,,,Cole Henry,henryco01
,,,,,,,,,,2.3,13.1,10,5,5,5,15,1,4,3.38,3.85,59,219,,,,0.52,,,,0,,4,,2,0,0,50,3,0,1,0,0,0,0.26,0.174,0.19,,1.34,38.6,70,,,Cole Henry,henryco01
1,99,1,Mar 27,CLE,@,KCR,,,,99,1,0,0,0,0,2,0,0,0,-0.9,3,11,8,3,1,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.108,1.43,,0.5,6.25,9,,,Tim Herrin*,herriti01
2,100,3,Mar 30,CLE,@,KCR,,,,2,0.1,0,0,0,0,0,0,1,0,2.35,2,6,3,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.57,0.01,0.57,,0.23,0.15,1,,,Tim Herrin*,herriti01
3,101,6,Apr 2,CLE,@,SDP,,,,2,1,1,1,1,0,1,1,0,3.86,7.39,4,16,11,4,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.12,-0.022,0.1,,-0.49,1.65,3,,,Tim Herrin*,herriti01
4,102,7,Apr 4,CLE,@,LAA,,,,1,1,1,0,0,1,2,0,1,2.7,6.7,6,23,13,6,2,0,2,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.31,0.066,2.19,,0.49,8.45,15,,,Tim Herrin*,herriti01
5,103,11,Apr 9,CLE,,CHW,,,,4,0.1,0,0,0,1,0,0,0,2.45,7.19,2,13,9,3,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.95,0.034,1.88,,0.23,0.15,1,,,Tim Herrin*,herriti01
6,104,13,Apr 11,CLE,,KCR,,,,1,1.1,1,0,0,0,0,0,0,1.8,6.1,4,14,8,1,1,2,2,0,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.14,0.093,1.25,,0.98,6.4,10,,,Tim Herrin*,herriti01
7,105,14,Apr 12,CLE,,KCR,,,,0,0.1,1,0,0,0,1,0,0,1.69,5.54,2,7,5,0,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.14,0.038,2.45,,0.23,2.15,4,,,Tim Herrin*,herriti01
8,106,18,Apr 17,CLE,@,BAL,,,,4,1,0,0,0,0,1,0,0,1.42,4.84,3,11,7,4,0,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.09,,0.7,4.25,6,,,Tim Herrin*,herriti01
9,107,19,Apr 18,CLE,@,PIT,,,,0,0.2,1,1,1,0,2,1,0,2.57,5.96,3,11,7,4,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0,0.04,,-0.6,2.9,5,,,Tim Herrin*,herriti01
10,108,20,Apr 19,CLE,@,PIT,,,,0,1,0,0,0,0,2,0,0,2.25,5.1,3,14,9,2,5,1,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.66,0.138,1.72,,0.93,6.25,9,,,Tim Herrin*,herriti01
11,109,23,Apr 22,CLE,,NYY,,,,2,1,0,0,0,0,2,0,0,2,4.44,4,14,9,3,1,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.35,0.095,1.63,,0.49,6.25,9,,,Tim Herrin*,herriti01
12,110,25,Apr 26(1),CLE,,BOS,,,,3,1,0,0,0,1,1,0,1,1.8,4.7,5,17,9,1,3,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.65,0.004,1.95,,0.11,7.05,12,,,Tim Herrin*,herriti01
13,111,28,Apr 28,CLE,,MIN,,,,1,0.1,3,2,2,1,0,0,0,3.48,4.94,5,19,9,4,0,4,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.32,-0.07,0.38,,-1.9,-5.65,-5,,,Tim Herrin*,herriti01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim Herrin*,herriti01
14,112,31,May 1,CLE,,MIN,,,,2,1.1,1,0,0,1,0,0,0,3.09,4.99,5,25,16,4,3,3,1,0,1,0,,2,0,0,0,0,4,0,0,0,1,0,0,3.24,0.225,3.91,,0.92,1.8,4,,,Tim Herrin*,herriti01
15,113,34,May 4,CLE,@,TOR,,,,2,1,0,0,0,0,0,0,1,2.84,5.08,4,8,6,2,0,0,3,1,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.24,0.087,1.46,,0.48,1.65,3,,,Tim Herrin*,herriti01
16,114,36,May 6(2),CLE,@,WSN,,,,1,0.2,0,0,0,1,1,0,0,2.7,5.05,3,18,10,3,3,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.33,0.038,1.51,,0.26,2.9,5,,,Tim Herrin*,herriti01
17,115,37,May 7,CLE,@,WSN,,,,0,0.2,1,0,0,1,1,0,0,2.57,5.03,4,14,10,5,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.63,0.001,0.73,,0,2.3,5,,,Tim Herrin*,herriti01
18,116,38,May 9,CLE,,PHI,,,,1,1,0,0,0,1,0,0,0,2.4,5.1,3,13,8,4,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.67,0.031,0.78,,0.49,1.65,3,,,Tim Herrin*,herriti01
19,117,40,May 11,CLE,,PHI,,,,1,0.2,1,2,2,1,1,1,0,3.45,5.91,4,19,10,3,2,0,2,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.18,-0.171,1.35,,-1.61,-1.7,-1,,,Tim Herrin*,herriti01
,,,,,,,,,,1.5,15.2,11,6,6,9,17,3,4,3.45,5.91,69,273,,,,0.86,,,,0,,9,,1,0,0,56,1,0,0,2,0,1,1.27,0.711,1.4,,2.43,54.85,98,,,Tim Herrin*,herriti01
1,34,25,Apr 22,CHC,,LAD,,,,99,2,0,0,0,0,2,0,0,0,1.1,6,19,12,2,5,0,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.34,0.051,0.4,,0.98,8.5,12,,,Gavin Hollowell,holloga01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavin Hollowell,holloga01
2,35,36,May 5,CHC,,SFG,,,,12,2,1,0,0,0,1,0,0,0,1.6,7,31,24,7,1,2,4,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.03,0.004,0.03,,0.98,5.9,9,,,Gavin Hollowell,holloga01
3,36,38,May 7,CHC,,SFG,,,,1,0.2,2,0,0,2,0,0,0,0,3.1,5,25,13,3,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.11,-0.015,1.4,,-0.27,-0.9,2,,,Gavin Hollowell,holloga01
4,37,39,May 9,CHC,@,NYM,,,,1,1,1,0,0,0,2,0,0,0,2.4,4,21,15,3,3,2,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.11,0.007,0.13,,0.48,5.65,9,,,Gavin Hollowell,holloga01
5,38,41,May 11,CHC,@,NYM,,,,1,0.2,2,1,1,0,0,1,0,1.42,4.52,4,12,10,3,1,1,3,1,1,0,,1,1,0,0,0,4,0,0,0,0,0,0,0.1,-0.044,0.13,,-1.49,-1.7,-1,,,Gavin Hollowell,holloga01
,,,,,,,,,,1,6.1,6,1,1,2,5,1,0,1.42,4.52,26,108,,,,0.46,,,,0,,1,,1,0,0,24,0,0,0,1,0,0,0.32,0.003,0.4,,0.67,17.45,31,,,Gavin Hollowell,holloga01
1,136,2,Mar 28,DET,@,LAD,,,,99,1.1,0,0,0,0,1,0,0,0,1.6,4,16,12,1,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.03,0.103,0.88,,0.58,5,7,,,Tyler Holton*,holtoty01
2,137,4,Mar 31,DET,@,SEA,,,,2,1,0,0,0,2,1,0,0,0,3.96,5,25,10,1,3,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,0.75,0.033,0.64,,0.45,7.05,12,,,Tyler Holton*,holtoty01
3,138,7,Apr 4,DET,,CHW,,,,3,1.1,0,0,0,0,2,0,0,0,2.56,4,16,12,7,1,2,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,0.16,0.017,0.16,,0.71,7,10,,,Tyler Holton*,holtoty01
4,139,10,Apr 7,DET,,NYY,,,,2,1,1,0,0,0,0,0,0,0,2.67,3,13,8,1,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.8,0.028,0.83,,0.49,1.65,3,,,Tyler Holton*,holtoty01
5,140,12,Apr 9,DET,,NYY,,,,1,1.2,3,2,2,0,2,1,0,2.84,4.21,8,31,22,5,1,2,4,2,1,0,,2,0,0,0,0,8,0,0,0,0,0,0,1.33,-0.083,1.47,,-0.12,1.95,5,,,Tyler Holton*,holtoty01
6,141,14,Apr 12,DET,@,MIN,,,,2,1,1,0,0,0,1,0,0,2.45,3.78,4,18,13,4,2,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.73,0.028,0.84,,0.5,3.65,6,,,Tyler Holton*,holtoty01
7,142,17,Apr 15,DET,@,MIL,,,,2,1,1,0,0,0,1,0,0,2.16,3.46,4,20,11,4,1,1,2,1,1,0,,1,0,1,0,0,4,0,0,0,0,0,0,0.39,0.015,0.44,,0.42,3.65,6,,,Tyler Holton*,holtoty01
8,143,19,Apr 17,DET,,KCR,,,,1,1,1,0,0,1,1,0,0,1.93,3.53,5,15,10,4,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.06,0.031,1.25,,0.49,3.05,6,,,Tyler Holton*,holtoty01
9,144,20,Apr 18,DET,,KCR,,,,0,0.1,0,0,0,0,0,0,0,1.86,3.52,1,3,2,0,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.3,0.039,1.58,,0.59,0.75,1,,,Tyler Holton*,holtoty01
10,145,22,Apr 20,DET,,KCR,,,,1,2,0,1,0,0,3,0,0,1.54,2.93,6,28,17,3,4,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,1,0,2.66,0.075,3.35,,0.6,10.5,15,,,Tyler Holton*,holtoty01
11,146,26,Apr 26(1),DET,,BAL,,,,5,1,3,2,2,1,2,1,0,2.84,3.89,7,29,15,5,3,1,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.64,-0.11,2.03,,-1.51,-0.15,3,,,Tyler Holton*,holtoty01
12,147,29,Apr 28,DET,@,HOU,,,,1,1,1,0,0,0,0,0,0,2.63,3.83,4,9,7,0,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.11,0.006,0.14,,0.48,1.65,3,,,Tyler Holton*,holtoty01
13,148,31,Apr 30,DET,@,HOU,,,,1,1.2,3,1,1,1,1,1,0,2.93,4.67,9,35,19,5,3,2,5,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.7,0.027,0.9,,-0.26,1.35,5,,,Tyler Holton*,holtoty01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Holton*,holtoty01
14,149,33,May 2,DET,@,LAA,,,,1,1,0,0,0,0,1,0,0,2.76,4.45,3,13,9,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.41,0.106,1.74,,0.49,8.25,12,,,Tyler Holton*,holtoty01
15,150,40,May 10,DET,,TEX,,,,7,1,2,1,1,0,1,1,0,3.12,5.01,5,20,12,3,1,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.05,-0.012,0.06,,-0.89,1.05,3,,,Tyler Holton*,holtoty01
16,151,43,May 13,DET,,BOS,,,,2,1.2,1,1,1,0,2,0,0,3.32,4.63,6,22,14,5,3,2,2,0,0,0,51,,,0,0,0,6,1,0,0,0,0,0,0.66,0.065,0.83,,0.66,5.15,8,,,Tyler Holton*,holtoty01
,,,,,,,,,,2.1,19,17,8,7,5,19,4,0,3.32,4.63,78,313,,,,0.8,,,,0,51,7,,1,0,0,72,1,0,0,1,1,0,0.96,0.368,1.12,,3.68,61.55,105,,,Tyler Holton*,holtoty01
1,20,22,Apr 20,ARI,@,CHC,,,,99,1,0,0,0,0,0,0,0,0,3.1,2,8,4,1,0,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,3.07,0.44,3.14,,1.11,2.25,3,,,Drey Jameson,jamesdr01
2,21,24,Apr 23,ARI,,TBR,,,,2,1,3,2,1,1,0,0,0,4.5,4.6,6,23,12,3,1,3,2,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,1.58,-0.298,1.55,,-0.86,-2.15,0,,,Drey Jameson,jamesdr01
3,22,27,Apr 26,ARI,,ATL,,,,2,1,1,0,0,2,0,0,0,3,6.1,5,22,11,3,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.17,0.039,1.13,,0.51,0.45,3,,,Drey Jameson,jamesdr01
,,,,,,,,,,2,3,4,2,1,3,0,0,0,3,6.1,13,53,,,,0.67,,,,0,,0,,0,0,0,10,2,0,0,1,0,0,1.61,0.181,1.59,,0.76,0.55,6,,,Drey Jameson,jamesdr01
1,12,3,Mar 30,LAA,@,CHW,,,,99,6,4,2,2,0,4,1,0,3,3.94,21,64,47,8,9,5,12,5,0,0,60,,,0,0,0,21,0,0,0,0,0,0,0.95,0.144,0.93,,0.88,15.1,28,,,Jack Kochanowicz,kochaja01
2,13,8,Apr 5,LAA,,CLE,,,,5,5,4,3,2,3,4,2,0,3.27,6.01,22,79,47,9,5,7,8,3,0,0,50,,,0,0,0,19,0,0,1,1,0,0,1.14,-0.044,1.16,,-0.53,15.05,27,,,Jack Kochanowicz,kochaja01
3,14,13,Apr 11,LAA,@,HOU,,,,5,4.2,7,6,6,3,1,0,0,5.74,5.59,23,86,55,14,3,14,5,1,1,0,24,,,0,0,0,19,0,0,0,0,1,0,1.15,-0.244,1.34,,-1.36,-5.5,-1,,,Jack Kochanowicz,kochaja01
4,15,18,Apr 17,LAA,@,TEX,,,,5,4.2,8,4,4,1,1,1,1,6.2,5.86,23,72,45,4,6,7,13,6,2,0,32,,,0,0,0,20,1,0,1,0,1,0,0.95,-0.235,1.1,,-1.82,-1.5,5,,,Jack Kochanowicz,kochaja01
5,16,23,Apr 23,LAA,,PIT,,,,5,6,8,2,2,1,3,1,1,5.47,5.72,25,81,54,14,10,11,9,4,0,0,50,,,1,0,0,22,0,0,0,3,1,0,0.96,0.042,0.95,,0.97,9.5,25,,,Jack Kochanowicz,kochaja01
6,17,28,Apr 29,LAA,@,SEA,,,,5,6,4,3,3,4,6,1,0,5.29,5.64,26,91,56,16,9,7,9,1,2,0,54,,,0,0,0,22,0,0,0,0,0,0,0.88,-0.148,0.81,,-0.33,14.7,31,,,Jack Kochanowicz,kochaja01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Kochanowicz,kochaja01
7,18,33,May 4,LAA,,DET,,,,4,5,7,5,5,2,1,1,1,5.79,5.84,23,77,49,8,7,7,12,3,3,0,32,,,0,0,0,20,1,0,0,2,0,0,0.87,-0.279,0.57,,-2.53,-2.75,3,,,Jack Kochanowicz,kochaja01
8,19,38,May 10,LAA,,BAL,,,,5,5.2,4,1,1,4,4,0,0,5.23,5.57,23,95,56,18,4,12,3,1,1,0,57,,,0,0,0,19,1,0,0,2,0,0,0.8,0.207,0.45,,1.53,17.95,32,,,Jack Kochanowicz,kochaja01
,,,,,,,,,,4.9,43,46,26,25,18,24,7,3,5.23,5.57,186,645,,,,0.99,,,,0,45,,,1,0,0,162,3,0,2,8,3,0,0.96,-0.557,0.91,,-3.19,62.55,150,,,Jack Kochanowicz,kochaja01
1,26,3,Mar 30,CHW,,LAA,,,,99,6,4,2,0,2,2,0,0,0,3.44,23,91,61,16,3,11,8,6,0,0,60,,,0,0,0,20,1,0,0,2,1,1,1.31,0.144,1.23,,0.88,13.9,28,,,Davis Martin,martida03
2,27,8,Apr 5,CHW,@,DET,,,,5,5,9,7,7,2,2,2,1,5.73,6.1,26,88,49,6,7,7,14,5,2,0,21,,,0,0,0,22,3,0,0,1,1,0,0.64,-0.404,0.53,,-4.56,-5.95,0,,,Davis Martin,martida03
3,28,13,Apr 11,CHW,,BOS,,,,5,6,6,1,1,1,6,0,1,4.24,4.69,25,89,63,17,10,5,12,5,1,0,61,,,1,0,0,23,2,0,0,1,0,0,0.79,0.205,0.47,,1.54,22.7,43,,,Davis Martin,martida03
4,29,18,Apr 17,CHW,,ATH,,,,5,5.1,8,4,4,1,3,2,0,4.84,5.34,25,90,60,17,7,13,8,3,1,0,38,,,0,0,0,24,2,1,0,0,0,0,0.78,-0.134,0.42,,-1.63,4.6,13,,,Davis Martin,martida03
5,30,23,Apr 22,CHW,@,MIN,,,,4,5,3,2,0,3,3,0,1,3.95,5.15,22,88,52,15,7,9,6,3,1,0,57,,,1,0,0,18,0,0,0,2,0,1,1.07,0.014,0.44,,0.52,13.05,24,,,Davis Martin,martida03
6,31,28,Apr 27,CHW,@,ATH,,,,4,6,3,0,0,2,5,0,0,3.24,4.66,20,73,44,12,5,8,5,3,1,0,,0,0,0,1,0,18,0,0,0,2,0,0,1.28,0.383,0.43,,2.79,20.5,33,,,Davis Martin,martida03
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis Martin,martida03
7,32,33,May 3,CHW,,HOU,,,,5,5,8,3,3,0,5,1,0,3.52,4.54,22,88,58,13,5,5,12,8,2,0,44,,,0,0,0,22,0,1,0,2,0,0,1.21,-0.059,0.31,,-0.6,10.45,21,,,Davis Martin,martida03
8,33,38,May 8,CHW,@,KCR,,,,4,4.1,7,4,4,1,2,0,0,4.01,4.37,21,86,49,8,8,7,11,7,0,0,34,,,1,0,0,20,2,0,0,0,0,0,0.85,-0.084,0.13,,-0.67,0.95,7,,,Davis Martin,martida03
,,,,,,,,,,4.6,42.2,48,23,19,12,28,5,3,4.01,4.37,184,693,,,,0.86,,,,0,45,0,,3,1,0,167,10,2,0,10,2,2,0.97,0.065,0.5,,-1.73,80.2,169,,,Davis Martin,martida03
1,148,3,Mar 30,MIL,@,NYY,,,,99,0.1,0,0,0,0,0,0,0,0,3.1,1,4,2,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0.1,0.75,1,,,Trevor Megill,megiltr01
2,149,5,Apr 1,MIL,,KCR,,,,1,1,0,0,0,0,2,0,0,0,0.1,3,10,8,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.06,,0.52,6.25,9,,,Trevor Megill,megiltr01
3,150,6,Apr 2,MIL,,KCR,,,,0,1,1,0,0,0,3,0,0,0,-1.18,4,18,13,5,3,1,0,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.78,0.14,2.1,,0.52,7.65,12,,,Trevor Megill,megiltr01
4,151,8,Apr 4,MIL,,CIN,,,,1,1,1,0,0,0,1,0,0,0,-0.5,4,17,10,3,3,0,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.94,0.166,2.61,,0.52,3.65,6,,,Trevor Megill,megiltr01
5,152,14,Apr 11,MIL,@,ARI,,,,6,1,0,0,0,1,2,0,0,0,0.1,4,20,12,3,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.001,0.04,,0.51,5.65,9,,,Trevor Megill,megiltr01
6,153,15,Apr 12,MIL,@,ARI,,,,0,0.1,2,3,3,3,0,0,0,5.79,2.25,6,17,8,2,0,0,3,2,0,0,,1,1,0,0,0,2,1,0,1,0,1,0,4.49,-0.95,4.76,,-3.49,-8.25,-8,,,Trevor Megill,megiltr01
7,154,19,Apr 16,MIL,,DET,,,,3,1,1,0,0,0,0,0,0,4.76,2.4,3,7,5,0,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.33,0.015,0.29,,0.52,1.65,3,,,Trevor Megill,megiltr01
8,155,20,Apr 18,MIL,,ATH,,,,1,0.2,0,0,0,0,0,0,0,4.26,2.47,2,5,4,1,0,1,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,1.78,0.109,1.69,,0.42,1.5,2,,,Trevor Megill,megiltr01
9,156,26,Apr 24,MIL,@,SFG,,,,5,0.2,0,0,0,0,1,0,0,3.86,2.25,3,12,8,3,1,0,2,1,0,0,,2,1,0,0,0,2,0,0,0,0,1,1,2.06,-0.094,2.07,,0.16,3.5,5,,,Trevor Megill,megiltr01
10,157,28,Apr 26,MIL,@,STL,,,,1,0.1,1,1,1,0,0,1,0,4.91,4.06,2,5,4,2,0,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.04,-0.362,1.89,,-0.76,-1.85,-2,,,Trevor Megill,megiltr01
11,158,31,Apr 30,MIL,@,CHW,,,,3,1,1,0,0,1,2,0,0,4.32,3.82,5,15,10,1,4,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2,0.087,1.85,,0.48,5.05,9,,,Trevor Megill,megiltr01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Megill,megiltr01
12,159,35,May 4,MIL,,CHC,,,,3,1,1,0,0,1,2,0,0,3.86,3.64,5,22,13,4,2,0,2,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.89,0.015,0.82,,0.52,5.05,9,,,Trevor Megill,megiltr01
13,160,37,May 6,MIL,,HOU,,,,1,1,0,0,0,0,1,0,0,3.48,3.39,3,6,6,1,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.16,0.166,1.92,,0.52,4.25,6,,,Trevor Megill,megiltr01
14,161,40,May 10,MIL,@,TBR,,,,3,0,1,0,0,0,0,0,0,3.48,3.39,1,4,2,1,0,1,0,0,0,0,,1,1,1,0,0,1,0,0,0,0,0,0,3.03,-0.438,2.56,,-1,-0.6,0,,,Trevor Megill,megiltr01
15,162,41,May 11,MIL,@,TBR,,,,0,1,0,0,0,0,1,0,0,3.18,3.19,3,13,9,2,1,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.15,0.087,0.9,,0.48,4.25,6,,,Trevor Megill,megiltr01
,,,,,,,,,,2,11.1,9,4,4,6,15,1,0,3.18,3.19,49,175,,,,0.47,,,,0,,6,,2,0,0,40,2,0,1,1,3,1,1.82,-1.052,1.7,,-0.01,38.5,67,,,Trevor Megill,megiltr01
1,66,3,Mar 29,ATH,@,SEA,,,,99,1,1,0,0,0,3,0,0,0,-2.9,4,17,14,4,4,0,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.64,0.079,1.7,,0.45,7.65,12,,,Mason Miller,millema03
2,67,7,Apr 2,ATH,,CHC,,,,3,1,0,0,0,0,2,0,0,0,-1.9,3,12,7,0,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0.47,6.25,9,,,Mason Miller,millema03
3,68,8,Apr 4,ATH,@,COL,,,,1,1,0,0,0,1,1,0,0,0,0.1,3,12,5,1,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,2.03,0.103,1.64,,1.18,3.65,6,,,Mason Miller,millema03
4,69,9,Apr 5,ATH,@,COL,,,,0,1,1,0,0,0,2,0,0,0,-0.15,4,13,9,3,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.77,0.047,0.63,,0.55,5.65,9,,,Mason Miller,millema03
5,70,15,Apr 12,ATH,,NYM,,,,6,1,1,0,0,0,1,0,0,0,0.1,4,15,11,3,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.03,0.068,0.79,,0.47,3.65,6,,,Mason Miller,millema03
6,71,18,Apr 16,ATH,@,CHW,,,,3,1,0,0,0,0,3,0,0,0,-0.4,3,12,9,1,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.15,0.087,0.97,,0.48,8.25,12,,,Mason Miller,millema03
7,72,21,Apr 19,ATH,@,MIL,,,,2,1,0,0,0,0,2,0,0,0,-0.47,3,17,12,2,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.22,0.094,1.05,,0.52,6.25,9,,,Mason Miller,millema03
8,73,24,Apr 23,ATH,,TEX,,,,3,1,1,0,0,0,3,0,0,0,-0.77,4,13,10,2,5,0,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.41,0.03,0.37,,0.47,7.65,12,,,Mason Miller,millema03
9,74,26,Apr 25,ATH,,CHW,,,,1,1,2,2,2,0,1,1,0,2,0.88,5,18,13,4,3,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.68,0.03,1.51,,-1.54,-0.95,0,,,Mason Miller,millema03
10,75,28,Apr 27,ATH,,CHW,,,,1,1,0,0,0,0,3,0,0,1.8,0.5,3,11,10,4,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.75,0.13,1.59,,0.47,8.25,12,,,Mason Miller,millema03
11,76,29,Apr 28,ATH,@,TEX,,,,0,1,0,0,0,1,1,0,0,1.64,0.83,4,16,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,4.67,0.193,5.04,,0.48,3.65,6,,,Mason Miller,millema03
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mason Miller,millema03
12,77,32,May 1,ATH,@,TEX,,,,2,1,0,0,0,0,1,0,0,1.5,0.85,3,9,6,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0.039,0.56,,0.48,4.25,6,,,Mason Miller,millema03
13,78,34,May 3,ATH,@,MIA,,,,1,0.2,2,5,5,2,2,1,1,4.97,2.39,7,28,16,5,4,0,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,4.73,-0.9,5.18,,-4.57,-7.5,-7,,,Mason Miller,millema03
14,79,36,May 5,ATH,,SEA,,,,1,1,0,0,0,2,1,0,0,4.61,2.74,5,27,14,0,5,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.73,0.13,3.57,,0.47,3.05,6,,,Mason Miller,millema03
15,80,40,May 10,ATH,,NYY,,,,4,1.2,1,1,1,0,4,0,0,4.7,2.26,6,26,17,8,6,1,1,0,0,0,,2,0,0,0,0,6,0,1,0,0,0,0,1.59,0.215,1.69,,0.34,9.15,14,,,Mason Miller,millema03
,,,,,,,,,,2,15.1,9,8,8,6,30,2,1,4.7,2.26,61,246,,,,0.71,,,,0,,2,,0,0,0,54,2,1,0,1,0,0,1.9,0.345,1.96,,0.68,68.9,112,,,Mason Miller,millema03
